what,kind,bundleId,bundleVersion,description,time
stopped,bundle,com.python.pydev.fastparser,2.6.0.2012062818,"com.python.pydev.fastparser",1390247595542
stopped,bundle,org.python.pydev.red_core,2.6.0.2012062818,"org.python.pydev.red_core",1390247595547
stopped,bundle,com.python.pydev,2.6.0.2012062818,"com.python.pydev",1390247595553
stopped,bundle,org.python.pydev.django,2.6.0.2012062818,"org.python.pydev.django",1390247595560
stopped,bundle,org.python.pydev.customizations,2.6.0.2012062818,"org.python.pydev.customizations",1390247595582
stopped,bundle,org.python.pydev.debug,2.6.0.2012062818,"org.python.pydev.debug",1390247595582
stopped,bundle,org.python.pydev.refactoring,2.6.0.2012062818,"org.python.pydev.refactoring",1390247595595
stopped,bundle,org.python.pydev,2.6.0.2012062818,"org.python.pydev",1390247652205
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1390247652220
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1390247652221
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1390247652233
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1390247652237
stopped,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1390247652237
stopped,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1390247652247
